Accrued Expense,Adopted,Agency,Budget Code,Budget Name,Cash Expense,Committed,Department,Encumbered,Expense Category,Modified,Post Adjustments,Pre-Encumbered,Year
0.00,63559851.00,Department of Education,1446,HIGH SCHOOLS,118291571.24,118291571.24,ENERGY AND LEASES - OTPS,0.00,RENTALS - LAND BLDGS & STRUCTS,63559851.00,0.00,0.00,2023
0.00,63382454.00,Department of Education,4601,GE INSTRUCTION & SCHOOL SUPERVISION - HS,91124312.87,91124312.87,GE INSTR & SCH LEADERSHIP - PS,0.00,UNSALARIED,63382454.00,0.00,0.00,2023
3738576.41,49483295.00,Department of Youth and Community Development,3680,BEACONS,59965504.59,63704081.00,OTHER THAN PERSONAL SERVICES,0.00,EDUCATION & REC FOR YOUTH PRGM,63016150.00,0.00,0.00,2023
0.00,60381635.00,Department of Education,2647,COMMITTEE ON SPECIAL EDUCATION,61957231.60,61957231.60,SCHOOL SUPPORT ORGANIZATION,0.00,FULL TIME PEDAGOGICAL PRSONNEL,60381635.00,0.00,0.00,2023
0.00,59326798.00,Department of Education,8707,UPK DOE SCHOOLS/NYCEEC,75519465.54,75519465.54,UNIVERSAL PRE-K - PS,0.00,HEALTH INSURANCE PLAN CITY EMP,59326798.00,0.00,0.00,2023
807936.27,57694491.00,Department of Education,4335,Office of Community Schools,109453931.87,112581179.82,GE INSTR & SCH LEADERSHIP - OTPS,0.00,PROF SERV OTHER,58613450.00,2319311.68,0.00,2023
0.00,58538429.00,Department of Education,8843,REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS,75997628.17,75997628.17,CATEGORICAL PROGRAMS - PS,0.00,PARAPROFESSIONAL PER SESSION,58538429.00,0.00,0.00,2023
0.00,80656441.00,Department of Education,8843,REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS,69578184.39,69578184.39,CATEGORICAL PROGRAMS - PS,0.00,UNSALARIED,57990566.00,0.00,0.00,2023
0.00,57919499.00,Department of Education,4305,INSTRUCTIONAL SUPPORT SERV - ELEM / MID,39502914.11,39502914.11,GE INSTR & SCH LEADERSHIP - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,57919499.00,0.00,0.00,2023
0.00,57326057.00,Department of Education,4648,GE Central Managed Sch Supp,59037319.67,59037319.67,GE INSTR & SCH LEADERSHIP - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,57326057.00,0.00,0.00,2023
